"x"
4
12
15
36
45
55
92
95
104
122
123
126
147
148
151
154
162
176
180
189
193
194
214
215
220
223
225
234
246
256
257
264
279
287
309
365
400
403
405
411
414
415
418
457
464
476
486
495
504
505
506
558
573
591
600
601
635
653
667
670
671
680
682
686
699
714
717
728
733
735
742
748
757
761
764
765
771
809
825
832
835
843
869
880
889
891
929
945
962
977
988
995
1003
1008
1010
1021
1058
1069
1075
1087
1091
1092
1105
1115
1124
1125
1128
1130
1142
1145
1150
1152
1153
1155
1156
1163
1178
1182
1189
1194
1203
1211
